Index,Lever position (lp)_9,Ship speed (v) [knots]_9,Gas Turbine (GT) shaft torque (GTT) [kN m]_9,GT rate of revolutions (GTn) [rpm]_9,Gas Generator rate of revolutions (GGn) [rpm]_9,Starboard Propeller Torque (Ts) [kN]_9,Port Propeller Torque (Tp) [kN]_9,Hight Pressure (HP) Turbine exit temperature (T48) [C]_9,GT Compressor inlet air temperature (T1) [C]_9,GT Compressor outlet air temperature (T2) [C]_9,HP Turbine exit pressure (P48) [bar]_9,GT Compressor inlet air pressure (P1) [bar]_9,GT Compressor outlet air pressure (P2) [bar]_9,GT exhaust gas pressure (Pexh) [bar]_9,Turbine Injecton Control (TIC) [%]_9,Fuel flow (mf) [kg/s]_9,GT Compressor decay state coefficient_9,GT Turbine decay state coefficient_9
3,3.144,9,8379.229,1386.757,7111.811,60.358,60.358,606.002,288,587.587,1.389,0.998,7.574,1.02,13.086,0.259,0.95,0.975
12,3.144,9,8379.307,1386.758,7114.396,60.353,60.353,605.169,288,587.437,1.389,0.998,7.567,1.02,13.052,0.258,0.95,0.976
21,3.144,9,8379.456,1386.759,7116.987,60.356,60.356,604.338,288,587.286,1.389,0.998,7.559,1.02,13.018,0.258,0.95,0.977
30,3.144,9,8379.548,1386.759,7119.575,60.351,60.351,603.509,288,587.136,1.389,0.998,7.552,1.02,12.983,0.257,0.95,0.978
39,3.144,9,8379.616,1386.76,7122.162,60.358,60.358,602.68,288,586.986,1.388,0.998,7.544,1.02,12.949,0.256,0.95,0.979
48,3.144,9,8379.729,1386.76,7124.753,60.361,60.361,601.855,288,586.836,1.388,0.998,7.537,1.02,12.915,0.256,0.95,0.98
57,3.144,9,8379.829,1386.761,7127.343,60.364,60.364,601.03,288,586.686,1.388,0.998,7.53,1.02,12.881,0.255,0.95,0.981
66,3.144,9,8379.928,1386.761,7129.934,60.365,60.365,600.208,288,586.536,1.388,0.998,7.522,1.02,12.847,0.254,0.95,0.982
75,3.144,9,8380.079,1386.762,7132.53,60.363,60.363,599.387,288,586.387,1.388,0.998,7.515,1.02,12.813,0.254,0.95,0.983
84,3.144,9,8380.141,1386.763,7135.12,60.365,60.365,598.568,288,586.237,1.388,0.998,7.508,1.02,12.78,0.253,0.95,0.984
93,3.144,9,8380.258,1386.763,7137.715,60.371,60.371,597.75,288,586.088,1.388,0.998,7.501,1.02,12.746,0.252,0.95,0.985
102,3.144,9,8380.39,1386.764,7140.311,60.369,60.369,596.935,288,585.939,1.388,0.998,7.493,1.02,12.712,0.252,0.95,0.986
111,3.144,9,8380.489,1386.764,7142.906,60.376,60.376,596.121,288,585.79,1.387,0.998,7.486,1.02,12.678,0.251,0.95,0.987
120,3.144,9,8380.543,1386.765,7145.498,60.364,60.364,595.308,288,585.641,1.387,0.998,7.479,1.02,12.645,0.25,0.95,0.988
