Index,Lever position (lp)_18,Ship speed (v) [knots]_18,Gas Turbine (GT) shaft torque (GTT) [kN m]_18,GT rate of revolutions (GTn) [rpm]_18,Gas Generator rate of revolutions (GGn) [rpm]_18,Starboard Propeller Torque (Ts) [kN]_18,Port Propeller Torque (Tp) [kN]_18,Hight Pressure (HP) Turbine exit temperature (T48) [C]_18,GT Compressor inlet air temperature (T1) [C]_18,GT Compressor outlet air temperature (T2) [C]_18,HP Turbine exit pressure (P48) [bar]_18,GT Compressor inlet air pressure (P1) [bar]_18,GT Compressor outlet air pressure (P2) [bar]_18,GT exhaust gas pressure (Pexh) [bar]_18,Turbine Injecton Control (TIC) [%]_18,Fuel flow (mf) [kg/s]_18,GT Compressor decay state coefficient_18,GT Turbine decay state coefficient_18
6,6.175,18,29792.731,2307.404,8828.36,246.278,246.278,800.434,288,676.397,2.501,0.998,13.356,1.03,35.76,0.708,0.95,0.975
15,6.175,18,29792.983,2307.388,8829.394,246.295,246.295,799.298,288,676.17,2.501,0.998,13.342,1.03,35.687,0.707,0.95,0.976
24,6.175,18,29793.328,2307.377,8830.433,246.22,246.22,798.166,288,675.943,2.501,0.998,13.328,1.03,35.613,0.705,0.95,0.977
33,6.175,18,29793.658,2307.365,8831.471,246.288,246.288,797.037,288,675.718,2.5,0.998,13.315,1.03,35.54,0.704,0.95,0.978
42,6.175,18,29793.951,2307.351,8832.506,246.254,246.254,795.911,288,675.493,2.5,0.998,13.301,1.03,35.467,0.702,0.95,0.979
51,6.175,18,29794.302,2307.344,8833.546,246.236,246.236,794.789,288,675.268,2.5,0.998,13.287,1.03,35.393,0.701,0.95,0.98
60,6.175,18,29794.58,2307.33,8834.58,246.315,246.315,793.671,288,675.044,2.499,0.998,13.273,1.03,35.321,0.699,0.95,0.981
69,6.175,18,29794.844,2307.317,8835.613,246.246,246.246,792.556,288,674.821,2.499,0.998,13.259,1.03,35.248,0.698,0.95,0.982
78,6.175,18,29795.241,2307.311,8836.655,246.255,246.255,791.444,288,674.599,2.499,0.998,13.246,1.03,35.176,0.696,0.95,0.983
87,6.175,18,29795.502,2307.3,8837.687,246.333,246.333,790.336,288,674.376,2.498,0.998,13.232,1.03,35.103,0.695,0.95,0.984
96,6.175,18,29795.876,2307.294,8838.727,246.256,246.256,789.231,288,674.155,2.498,0.998,13.218,1.03,35.031,0.694,0.95,0.985
105,6.175,18,29796.172,2307.284,8839.761,246.337,246.337,788.13,288,673.935,2.497,0.998,13.205,1.03,34.959,0.692,0.95,0.986
114,6.175,18,29796.443,2307.276,8840.795,246.268,246.268,787.032,288,673.714,2.497,0.998,13.191,1.03,34.887,0.691,0.95,0.987
123,6.175,18,29796.753,2307.27,8841.83,246.297,246.297,785.938,288,673.495,2.497,0.998,13.177,1.03,34.816,0.689,0.95,0.988
132,6.175,18,29797.061,2307.262,8842.865,246.305,246.305,784.846,288,673.276,2.496,0.998,13.164,1.03,34.745,0.688,0.95,0.989
141,6.175,18,29797.33,2307.255,8843.898,246.366,246.366,783.758,288,673.058,2.496,0.998,13.15,1.03,34.673,0.687,0.95,0.99
150,6.175,18,29797.514,2307.247,8844.927,246.284,246.284,782.673,288,672.84,2.496,0.998,13.137,1.03,34.602,0.685,0.95,0.991
159,6.175,18,29797.827,2307.243,8845.964,246.326,246.326,781.591,288,672.623,2.495,0.998,13.123,1.03,34.532,0.684,0.95,0.992
168,6.175,18,29797.93,2307.233,8846.989,246.295,246.295,780.513,288,672.406,2.495,0.998,13.11,1.03,34.461,0.682,0.95,0.993
177,6.175,18,29798.176,2307.229,8848.022,246.297,246.297,779.437,288,672.19,2.495,0.998,13.096,1.03,34.391,0.681,0.95,0.994
186,6.175,18,29798.329,2307.223,8849.051,246.38,246.38,778.365,288,671.975,2.494,0.998,13.083,1.03,34.321,0.68,0.95,0.995
195,6.175,18,29798.462,2307.218,8850.081,246.328,246.328,777.295,288,671.76,2.494,0.998,13.069,1.03,34.251,0.678,0.95,0.996
204,6.175,18,29798.5,2307.212,8851.106,246.339,246.339,776.229,288,671.545,2.494,0.998,13.056,1.03,34.181,0.677,0.95,0.997
213,6.175,18,29798.543,2307.208,8852.133,246.397,246.397,775.165,288,671.331,2.493,0.998,13.043,1.03,34.111,0.675,0.95,0.998
222,6.175,18,29798.58,2307.205,8853.161,246.394,246.394,774.103,288,671.118,2.493,0.998,13.029,1.03,34.042,0.674,0.95,0.999
231,6.175,18,29798.727,2307.204,8854.195,246.336,246.336,773.045,288,670.905,2.492,0.998,13.016,1.03,33.972,0.673,0.95,1
240,6.175,18,29792.435,2307.415,8827.26,246.221,246.221,799.895,288,676.148,2.502,0.998,13.358,1.03,35.734,0.707,0.951,0.975
