Index,Lever position (lp)_3,Ship speed (v) [knots]_3,Gas Turbine (GT) shaft torque (GTT) [kN m]_3,GT rate of revolutions (GTn) [rpm]_3,Gas Generator rate of revolutions (GGn) [rpm]_3,Starboard Propeller Torque (Ts) [kN]_3,Port Propeller Torque (Tp) [kN]_3,Hight Pressure (HP) Turbine exit temperature (T48) [C]_3,GT Compressor inlet air temperature (T1) [C]_3,GT Compressor outlet air temperature (T2) [C]_3,HP Turbine exit pressure (P48) [bar]_3,GT Compressor inlet air pressure (P1) [bar]_3,GT Compressor outlet air pressure (P2) [bar]_3,GT exhaust gas pressure (Pexh) [bar]_3,Turbine Injecton Control (TIC) [%]_3,Fuel flow (mf) [kg/s]_3,GT Compressor decay state coefficient_3,GT Turbine decay state coefficient_3
1,1.138,3,289.964,1349.489,6677.38,7.584,7.584,464.006,288,550.563,1.096,0.998,5.947,1.019,7.137,0.082,0.95,0.975
10,1.138,3,379.88,1355.375,6683.916,7.915,7.915,464.017,288,550.985,1.1,0.998,5.963,1.019,3.879,0.079,0.95,0.976
19,1.138,3,753.021,1371.886,6697.838,8.858,8.858,473.665,288,553.143,1.117,0.998,6.047,1.019,0,0.088,0.95,0.977
28,1.138,3,1341.723,1391.603,6714.114,10.018,10.018,490.661,288,556.617,1.142,0.998,6.185,1.019,0,0.107,0.95,0.978
37,1.138,3,1836.145,1403.714,6725.143,10.747,10.747,505.147,288,559.3,1.163,0.998,6.293,1.019,0,0.124,0.95,0.979
46,1.138,3,2208.183,1410.089,6732.248,11.143,11.143,515.967,288,561.21,1.178,0.998,6.372,1.019,0,0.136,0.95,0.98
55,1.138,3,2951.927,1417.178,6740.109,11.583,11.583,538.322,288,564.943,1.207,0.998,6.528,1.019,0,0.162,0.95,0.981
64,1.138,3,3774.812,1418.886,6744.353,11.699,11.699,562.543,288,568.684,1.236,0.998,6.688,1.019,0,0.191,0.95,0.982
73,1.138,3,4053.735,1417.887,6746.47,11.648,11.648,570.474,288,569.653,1.245,0.998,6.73,1.019,0,0.2,0.95,0.983
82,1.138,3,5449.868,1407.844,6743.278,11.046,11.046,610.426,288,575.121,1.288,0.998,6.975,1.019,0,0.249,0.95,0.984
91,1.138,3,6303.74,1396.991,6739.385,10.4,10.4,634.168,288,578.057,1.312,0.998,7.11,1.019,0,0.278,0.95,0.985
100,1.138,3,7325.655,1374.993,6728.644,9.099,9.099,666.257,288,580.93,1.334,0.998,7.245,1.019,4.989,0.322,0.95,0.986
109,1.138,3,7456.772,1363.431,6723.993,8.435,8.435,672.064,288,580.955,1.334,0.998,7.246,1.019,11.382,0.333,0.95,0.987
118,1.138,3,6810.551,1333.835,6707.429,6.756,6.756,661.708,288,578.015,1.308,0.998,7.107,1.019,25.58,0.328,0.95,0.988
