Index,Lever position (lp)_24,Ship speed (v) [knots]_24,Gas Turbine (GT) shaft torque (GTT) [kN m]_24,GT rate of revolutions (GTn) [rpm]_24,Gas Generator rate of revolutions (GGn) [rpm]_24,Starboard Propeller Torque (Ts) [kN]_24,Port Propeller Torque (Tp) [kN]_24,Hight Pressure (HP) Turbine exit temperature (T48) [C]_24,GT Compressor inlet air temperature (T1) [C]_24,GT Compressor outlet air temperature (T2) [C]_24,HP Turbine exit pressure (P48) [bar]_24,GT Compressor inlet air pressure (P1) [bar]_24,GT Compressor outlet air pressure (P2) [bar]_24,GT exhaust gas pressure (Pexh) [bar]_24,Turbine Injecton Control (TIC) [%]_24,Fuel flow (mf) [kg/s]_24,GT Compressor decay state coefficient_24,GT Turbine decay state coefficient_24
8,8.206,24,50996.808,3087.561,9318.562,437.989,437.989,952.122,288,741.77,3.576,0.998,18.632,1.04,62.44,1.236,0.95,0.975
17,8.206,24,50997.234,3087.583,9318.935,438.098,438.098,951.073,288,741.605,3.575,0.998,18.611,1.04,62.342,1.234,0.95,0.976
26,8.206,24,50997.566,3087.601,9319.306,438.134,438.134,950.027,288,741.441,3.574,0.998,18.589,1.041,62.245,1.232,0.95,0.977
35,8.206,24,50997.769,3087.617,9319.674,438.052,438.052,948.984,288,741.277,3.574,0.998,18.568,1.041,62.148,1.23,0.95,0.978
44,8.206,24,50997.922,3087.627,9320.04,437.996,437.996,947.943,288,741.114,3.573,0.998,18.547,1.041,62.051,1.228,0.95,0.979
53,8.206,24,50998.05,3087.634,9320.404,438.004,438.004,946.906,288,740.952,3.572,0.998,18.525,1.041,61.954,1.226,0.95,0.98
62,8.206,24,50998.096,3087.637,9320.766,438.054,438.054,945.871,288,740.79,3.571,0.998,18.504,1.041,61.857,1.225,0.95,0.981
71,8.206,24,50998.04,3087.637,9321.126,438.031,438.031,944.838,288,740.628,3.57,0.998,18.482,1.041,61.761,1.223,0.95,0.982
80,8.206,24,50997.94,3087.634,9321.484,438.004,438.004,943.809,288,740.467,3.569,0.998,18.461,1.041,61.664,1.221,0.95,0.983
89,8.206,24,50997.82,3087.633,9321.842,438.067,438.067,942.782,288,740.306,3.568,0.998,18.44,1.041,61.568,1.219,0.95,0.984
98,8.206,24,50997.702,3087.631,9322.199,437.99,437.99,941.759,288,740.146,3.567,0.998,18.419,1.041,61.472,1.217,0.95,0.985
107,8.206,24,50997.591,3087.629,9322.556,437.99,437.99,940.739,288,739.987,3.566,0.998,18.398,1.041,61.376,1.215,0.95,0.986
116,8.206,24,50997.502,3087.626,9322.912,438.025,438.025,939.722,288,739.828,3.566,0.998,18.376,1.041,61.281,1.213,0.95,0.987
125,8.206,24,50997.385,3087.624,9323.267,438.127,438.127,938.707,288,739.67,3.565,0.998,18.355,1.041,61.186,1.211,0.95,0.988
134,8.206,24,50997.254,3087.623,9323.622,438.133,438.133,937.696,288,739.513,3.564,0.998,18.334,1.041,61.091,1.209,0.95,0.989
143,8.206,24,50997.156,3087.62,9323.977,438.037,438.037,936.687,288,739.356,3.563,0.998,18.313,1.041,60.996,1.208,0.95,0.99
152,8.206,24,50997.004,3087.62,9324.33,438.074,438.074,935.682,288,739.2,3.562,0.998,18.292,1.041,60.901,1.206,0.95,0.991
161,8.206,24,50996.889,3087.618,9324.684,437.976,437.976,934.68,288,739.044,3.561,0.998,18.271,1.041,60.807,1.204,0.95,0.992
170,8.206,24,50996.781,3087.615,9325.036,437.981,437.981,933.68,288,738.889,3.56,0.998,18.25,1.041,60.713,1.202,0.95,0.993
179,8.206,24,50996.595,3087.612,9325.39,438.082,438.082,932.683,288,738.735,3.559,0.998,18.23,1.041,60.619,1.2,0.95,0.994
188,8.206,24,50995.647,3087.591,9325.777,438.073,438.073,931.663,288,738.583,3.558,0.998,18.209,1.041,60.524,1.198,0.95,0.995
197,8.206,24,50995.184,3087.577,9326.171,438.116,438.116,930.649,288,738.433,3.558,0.998,18.189,1.041,60.429,1.196,0.95,0.996
206,8.206,24,50994.939,3087.57,9326.567,438.063,438.063,929.639,288,738.284,3.557,0.998,18.168,1.041,60.335,1.194,0.95,0.997
215,8.206,24,50994.777,3087.564,9326.963,438.052,438.052,928.632,288,738.136,3.556,0.998,18.148,1.041,60.241,1.193,0.95,0.998
224,8.206,24,50994.64,3087.56,9327.36,438.1,438.1,927.629,288,737.989,3.555,0.998,18.128,1.041,60.147,1.191,0.95,0.999
233,8.206,24,50994.522,3087.557,9327.756,437.951,437.951,926.629,288,737.842,3.554,0.998,18.108,1.041,60.053,1.189,0.95,1
242,8.206,24,50996.612,3087.555,9317.941,438.131,438.131,951.441,288,741.443,3.577,0.998,18.636,1.041,62.4,1.235,0.951,0.975
251,8.206,24,50997.075,3087.576,9318.315,437.997,437.997,950.392,288,741.278,3.576,0.998,18.614,1.041,62.303,1.233,0.951,0.976
260,8.206,24,50997.444,3087.594,9318.686,438.082,438.082,949.346,288,741.114,3.575,0.998,18.593,1.041,62.206,1.231,0.951,0.977
269,8.206,24,50997.647,3087.611,9319.055,438.036,438.036,948.302,288,740.95,3.574,0.998,18.571,1.041,62.108,1.23,0.951,0.978
278,8.206,24,50997.835,3087.621,9319.421,438.133,438.133,947.261,288,740.787,3.573,0.998,18.55,1.041,62.011,1.228,0.951,0.979
287,8.206,24,50997.927,3087.63,9319.786,437.991,437.991,946.223,288,740.624,3.573,0.998,18.529,1.041,61.914,1.226,0.951,0.98
296,8.206,24,50998.006,3087.633,9320.149,438.004,438.004,945.188,288,740.461,3.572,0.998,18.507,1.041,61.818,1.224,0.951,0.981
305,8.206,24,50997.937,3087.634,9320.51,438.131,438.131,944.156,288,740.299,3.571,0.998,18.486,1.041,61.721,1.222,0.951,0.982
314,8.206,24,50997.862,3087.631,9320.868,438.038,438.038,943.126,288,740.138,3.57,0.998,18.465,1.041,61.625,1.22,0.951,0.983
323,8.206,24,50997.726,3087.63,9321.227,438.122,438.122,942.099,288,739.977,3.569,0.998,18.443,1.041,61.528,1.218,0.951,0.984
332,8.206,24,50997.624,3087.627,9321.584,438.025,438.025,941.075,288,739.817,3.568,0.998,18.422,1.041,61.433,1.216,0.951,0.985
341,8.206,24,50997.52,3087.625,9321.941,438.139,438.139,940.055,288,739.657,3.567,0.998,18.401,1.041,61.337,1.214,0.951,0.986
350,8.206,24,50997.407,3087.623,9322.298,438.026,438.026,939.037,288,739.498,3.566,0.998,18.38,1.041,61.241,1.212,0.951,0.987
359,8.206,24,50997.29,3087.621,9322.654,438.113,438.113,938.022,288,739.339,3.565,0.998,18.359,1.041,61.146,1.211,0.951,0.988
368,8.206,24,50997.204,3087.618,9323.009,438.053,438.053,937.011,288,739.182,3.564,0.998,18.338,1.041,61.051,1.209,0.951,0.989
377,8.206,24,50997.018,3087.619,9323.364,438.02,438.02,936.002,288,739.024,3.564,0.998,18.317,1.041,60.956,1.207,0.951,0.99
386,8.206,24,50996.911,3087.617,9323.718,438.127,438.127,934.996,288,738.868,3.563,0.998,18.296,1.041,60.862,1.205,0.951,0.991
395,8.206,24,50996.795,3087.615,9324.072,438.121,438.121,933.993,288,738.712,3.562,0.998,18.275,1.041,60.767,1.203,0.951,0.992
404,8.206,24,50996.726,3087.611,9324.425,438.125,438.125,932.994,288,738.557,3.561,0.998,18.254,1.041,60.673,1.201,0.951,0.993
413,8.206,24,50995.806,3087.591,9324.807,438.05,438.05,931.973,288,738.404,3.56,0.998,18.233,1.041,60.578,1.199,0.951,0.994
422,8.206,24,50995.238,3087.578,9325.2,437.967,437.967,930.955,288,738.252,3.559,0.998,18.213,1.041,60.482,1.197,0.951,0.995
431,8.206,24,50994.986,3087.569,9325.597,437.996,437.996,929.941,288,738.102,3.558,0.998,18.192,1.041,60.388,1.195,0.951,0.996
440,8.206,24,50994.81,3087.563,9325.995,437.967,437.967,928.931,288,737.953,3.558,0.998,18.172,1.041,60.294,1.194,0.951,0.997
449,8.206,24,50994.731,3087.557,9326.393,438.039,438.039,927.925,288,737.805,3.557,0.998,18.152,1.041,60.2,1.192,0.951,0.998
458,8.206,24,50994.595,3087.555,9326.79,437.967,437.967,926.921,288,737.657,3.556,0.998,18.132,1.041,60.106,1.19,0.951,0.999
467,8.206,24,50994.506,3087.553,9327.187,437.96,437.96,925.921,288,737.51,3.555,0.998,18.111,1.041,60.012,1.188,0.951,1
