Index,Lever position (lp)_21,Ship speed (v) [knots]_21,Gas Turbine (GT) shaft torque (GTT) [kN m]_21,GT rate of revolutions (GTn) [rpm]_21,Gas Generator rate of revolutions (GGn) [rpm]_21,Starboard Propeller Torque (Ts) [kN]_21,Port Propeller Torque (Tp) [kN]_21,Hight Pressure (HP) Turbine exit temperature (T48) [C]_21,GT Compressor inlet air temperature (T1) [C]_21,GT Compressor outlet air temperature (T2) [C]_21,HP Turbine exit pressure (P48) [bar]_21,GT Compressor inlet air pressure (P1) [bar]_21,GT Compressor outlet air pressure (P2) [bar]_21,GT exhaust gas pressure (Pexh) [bar]_21,Turbine Injecton Control (TIC) [%]_21,Fuel flow (mf) [kg/s]_21,GT Compressor decay state coefficient_21,GT Turbine decay state coefficient_21
7,7.148,21,38982.18,2678.086,9132.429,332.077,332.077,854.747,288,699.954,2.963,0.998,15.679,1.035,45.881,0.908,0.95,0.975
16,7.148,21,38981.896,2678.086,9132.932,332.208,332.208,853.701,288,699.779,2.963,0.998,15.661,1.035,45.799,0.907,0.95,0.976
25,7.148,21,38981.432,2678.086,9133.432,332.108,332.108,852.658,288,699.604,2.962,0.998,15.644,1.035,45.717,0.905,0.95,0.977
34,7.148,21,38981.087,2678.087,9133.933,332.197,332.197,851.618,288,699.429,2.961,0.998,15.627,1.035,45.636,0.904,0.95,0.978
43,7.148,21,38980.696,2678.086,9134.434,332.154,332.154,850.58,288,699.255,2.961,0.998,15.61,1.035,45.555,0.902,0.95,0.979
52,7.148,21,38980.287,2678.088,9134.934,332.194,332.194,849.545,288,699.082,2.96,0.998,15.592,1.035,45.473,0.9,0.95,0.98
61,7.148,21,38979.934,2678.088,9135.434,332.058,332.058,848.513,288,698.909,2.96,0.998,15.575,1.035,45.392,0.899,0.95,0.981
70,7.148,21,38979.558,2678.088,9135.933,332.152,332.152,847.483,288,698.736,2.959,0.998,15.558,1.035,45.312,0.897,0.95,0.982
79,7.148,21,38979.213,2678.089,9136.433,332.045,332.045,846.457,288,698.564,2.958,0.998,15.541,1.035,45.231,0.896,0.95,0.983
88,7.148,21,38978.773,2678.088,9136.933,332.181,332.181,845.431,288,698.392,2.958,0.998,15.524,1.035,45.15,0.894,0.95,0.984
