Index,Lever position (lp)_6,Ship speed (v) [knots]_6,Gas Turbine (GT) shaft torque (GTT) [kN m]_6,GT rate of revolutions (GTn) [rpm]_6,Gas Generator rate of revolutions (GGn) [rpm]_6,Starboard Propeller Torque (Ts) [kN]_6,Port Propeller Torque (Tp) [kN]_6,Hight Pressure (HP) Turbine exit temperature (T48) [C]_6,GT Compressor inlet air temperature (T1) [C]_6,GT Compressor outlet air temperature (T2) [C]_6,HP Turbine exit pressure (P48) [bar]_6,GT Compressor inlet air pressure (P1) [bar]_6,GT Compressor outlet air pressure (P2) [bar]_6,GT exhaust gas pressure (Pexh) [bar]_6,Turbine Injecton Control (TIC) [%]_6,Fuel flow (mf) [kg/s]_6,GT Compressor decay state coefficient_6,GT Turbine decay state coefficient_6
2,2.088,6,6960.18,1376.166,6828.469,28.204,28.204,635.401,288,581.658,1.331,0.998,7.282,1.019,10.655,0.287,0.95,0.975
11,2.088,6,6969.176,1371.94,6828.438,27.424,27.424,635.96,288,581.44,1.33,0.998,7.272,1.019,12.785,0.289,0.95,0.976
20,2.088,6,6961.726,1371.057,6830.364,27.259,27.259,635.133,288,581.244,1.33,0.998,7.262,1.019,13.192,0.289,0.95,0.977
29,2.088,6,6895.321,1366.843,6830.317,26.481,26.481,633.651,288,580.761,1.326,0.998,7.239,1.019,15.319,0.289,0.95,0.978
38,2.088,6,6846.147,1364.27,6831.294,26.018,26.018,632.165,288,580.39,1.324,0.998,7.222,1.019,16.581,0.288,0.95,0.979
47,2.088,6,6838.593,1364.796,6834.172,26.113,26.113,630.902,288,580.222,1.324,0.998,7.214,1.019,16.216,0.287,0.95,0.98
56,2.088,6,6804.076,1363.758,6836.062,25.915,25.915,629.367,288,579.931,1.323,0.998,7.2,1.019,16.701,0.286,0.95,0.981
65,2.088,6,6606.714,1358.928,6835.649,25.032,25.032,624.597,288,578.975,1.316,0.998,7.155,1.019,18.868,0.282,0.95,0.982
74,2.088,6,6563.076,1358.234,6837.777,24.908,24.908,622.744,288,578.637,1.314,0.998,7.139,1.019,19.074,0.28,0.95,0.983
83,2.088,6,6491.693,1356.728,6839.411,24.629,24.629,620.37,288,578.179,1.311,0.998,7.118,1.019,19.526,0.278,0.95,0.984
92,2.088,6,6420.429,1355.785,6841.396,24.465,24.465,617.954,288,577.8,1.309,0.998,7.101,1.019,20.263,0.276,0.95,0.985
101,2.088,6,6310.331,1354.347,6843.08,24.201,24.201,614.503,288,577.215,1.305,0.998,7.074,1.019,20.679,0.272,0.95,0.986
110,2.088,6,6089.628,1351.779,6844.03,23.732,23.732,608.51,288,576.211,1.298,0.998,7.027,1.019,21.587,0.266,0.95,0.987
119,2.088,6,6169.829,1352.942,6847.342,23.94,23.94,609.547,288,576.425,1.301,0.998,7.037,1.019,21.312,0.267,0.95,0.988
128,2.088,6,5864.141,1349.84,6847.962,23.383,23.383,601.383,288,575.053,1.291,0.998,6.975,1.019,22.212,0.258,0.95,0.989
137,2.088,6,5609.242,1347.854,6849.289,23.017,23.017,594.393,288,573.959,1.283,0.998,6.925,1.019,22.981,0.25,0.95,0.99
146,2.088,6,5612.283,1347.886,6851.841,23.027,23.027,593.577,288,573.786,1.283,0.998,6.918,1.019,22.796,0.25,0.95,0.991
155,2.088,6,5259.425,1346.166,6853.352,22.708,22.708,583.693,288,572.257,1.272,0.998,6.849,1.019,23.154,0.239,0.95,0.992
164,2.088,6,5302.58,1346.313,6856.03,22.737,22.737,583.962,288,572.237,1.273,0.998,6.848,1.019,22.888,0.239,0.95,0.993
173,2.088,6,5179.159,1345.805,6858.196,22.643,22.643,579.983,288,571.677,1.269,0.998,6.824,1.019,23.23,0.235,0.95,0.994
182,2.088,6,5228.006,1345.969,6860.889,22.671,22.671,580.5,288,571.714,1.27,0.998,6.825,1.019,23.174,0.236,0.95,0.995
191,2.088,6,4826.301,1344.737,6862.678,22.448,22.448,569.036,288,569.889,1.258,0.998,6.745,1.019,23.176,0.222,0.95,0.996
200,2.088,6,4799.006,1344.875,6865.305,22.463,22.463,567.384,288,569.741,1.257,0.998,6.739,1.019,23.074,0.221,0.95,0.997
209,2.088,6,4768.734,1344.802,6867.851,22.448,22.448,565.916,288,569.464,1.256,0.998,6.727,1.019,23.05,0.219,0.95,0.998
218,2.088,6,4436.213,1344.686,6870.266,22.42,22.42,556.211,288,567.974,1.245,0.998,6.662,1.019,22.745,0.207,0.95,0.999
227,2.088,6,4178.563,1344.968,6872.994,22.462,22.462,548.093,288,566.701,1.237,0.998,6.608,1.019,22.353,0.197,0.95,1
236,2.088,6,6956.385,1375.03,6825.495,27.996,27.996,635.18,288,581.399,1.331,0.998,7.281,1.019,11.308,0.287,0.951,0.975
245,2.088,6,6913.449,1367.24,6823.199,26.553,26.553,635.344,288,580.917,1.327,0.998,7.257,1.019,15.178,0.29,0.951,0.976
254,2.088,6,6839.849,1363.978,6823.76,25.963,25.963,633.426,288,580.443,1.324,0.998,7.235,1.019,16.914,0.289,0.951,0.977
263,2.088,6,6812.263,1363.567,6826.029,25.886,25.886,631.86,288,580.176,1.323,0.998,7.222,1.019,16.83,0.288,0.951,0.978
272,2.088,6,6804.329,1363.165,6828.3,25.813,25.813,630.888,288,579.998,1.323,0.998,7.214,1.019,17.081,0.287,0.951,0.979
281,2.088,6,6683.832,1360.383,6829.144,25.3,25.3,627.573,288,579.381,1.318,0.998,7.185,1.019,18.426,0.284,0.951,0.98
290,2.088,6,6700.668,1360.796,6831.941,25.381,25.381,627.019,288,579.275,1.319,0.998,7.18,1.019,18.085,0.284,0.951,0.981
299,2.088,6,6614.398,1359.027,6833.445,25.05,25.05,624.338,288,578.797,1.316,0.998,7.157,1.019,18.896,0.282,0.951,0.982
308,2.088,6,6425.61,1356.12,6834.177,24.517,24.517,619.287,288,577.928,1.31,0.998,7.117,1.019,20.189,0.276,0.951,0.983
317,2.088,6,6349.026,1354.853,6835.934,24.297,24.297,616.71,288,577.449,1.307,0.998,7.095,1.019,20.555,0.274,0.951,0.984
326,2.088,6,6230.81,1353.194,6837.495,23.992,23.992,613.15,288,576.844,1.303,0.998,7.067,1.019,21.191,0.271,0.951,0.985
335,2.088,6,6049.323,1351.3,6838.892,23.644,23.644,607.996,288,575.992,1.297,0.998,7.028,1.019,21.871,0.265,0.951,0.986
344,2.088,6,5978.152,1350.665,6841.009,23.528,23.528,605.424,288,575.559,1.295,0.998,7.008,1.019,22.01,0.263,0.951,0.987
353,2.088,6,5644.773,1347.91,6841.866,23.022,23.022,596.417,288,574.093,1.284,0.998,6.941,1.019,22.742,0.253,0.951,0.988
362,2.088,6,5659.9,1348.166,6844.581,23.075,23.075,595.957,288,574.032,1.284,0.998,6.938,1.019,22.7,0.252,0.951,0.989
371,2.088,6,5435.012,1346.949,6846.385,22.855,22.855,589.509,288,573.065,1.277,0.998,6.895,1.019,23.17,0.245,0.951,0.99
380,2.088,6,5246.185,1346.03,6848.358,22.676,22.676,583.691,288,572.056,1.271,0.998,6.85,1.019,22.919,0.239,0.951,0.991
389,2.088,6,5304.011,1346.26,6851.079,22.727,22.727,584.426,288,572.199,1.273,0.998,6.856,1.019,23.037,0.24,0.951,0.992
398,2.088,6,5270.947,1346.224,6853.595,22.712,22.712,582.753,288,571.928,1.272,0.998,6.844,1.019,23.006,0.238,0.951,0.993
407,2.088,6,4975.167,1345.199,6855.469,22.523,22.523,574.277,288,570.643,1.263,0.998,6.788,1.019,23.125,0.228,0.951,0.994
416,2.088,6,4547.63,1344.449,6857.544,22.378,22.378,561.992,288,568.761,1.249,0.998,6.705,1.019,23.184,0.213,0.951,0.995
425,2.088,6,4682.313,1344.772,6860.354,22.443,22.443,564.809,288,569.149,1.253,0.998,6.722,1.019,23.083,0.217,0.951,0.996
434,2.088,6,4432.116,1344.623,6862.744,22.406,22.406,557.239,288,568.001,1.245,0.998,6.673,1.019,22.945,0.208,0.951,0.997
443,2.088,6,4357.517,1344.628,6865.286,22.408,22.408,554.318,288,567.5,1.243,0.998,6.651,1.019,22.891,0.205,0.951,0.998
452,2.088,6,4098.941,1345.128,6868.126,22.488,22.488,546.172,288,566.306,1.235,0.998,6.6,1.019,22.154,0.195,0.951,0.999
461,2.088,6,3923.278,1345.812,6871.127,22.605,22.605,540.219,288,565.459,1.229,0.998,6.564,1.019,21.315,0.188,0.951,1
470,2.088,6,6946.956,1369.166,6819.577,26.915,26.915,636.147,288,581.011,1.329,0.998,7.273,1.019,14.287,0.291,0.952,0.975
479,2.088,6,6940.633,1368.741,6821.846,26.826,26.826,635.182,288,580.805,1.329,0.998,7.263,1.019,14.08,0.29,0.952,0.976
488,2.088,6,6794.147,1363.089,6820.904,25.79,25.79,631.982,288,580.051,1.323,0.998,7.227,1.019,17.266,0.288,0.952,0.977
497,2.088,6,6700.45,1360.721,6821.978,25.366,25.366,629.204,288,579.488,1.319,0.998,7.2,1.019,18.087,0.286,0.952,0.978
506,2.088,6,6632.454,1359.092,6823.533,25.066,25.066,626.964,288,579.073,1.317,0.998,7.181,1.019,18.861,0.284,0.952,0.979
515,2.088,6,6609.546,1358.746,6825.839,25,25,625.619,288,578.864,1.316,0.998,7.171,1.019,19.159,0.283,0.952,0.98
524,2.088,6,6413.393,1355.524,6826.442,24.417,24.417,620.372,288,577.937,1.309,0.998,7.128,1.019,20.421,0.278,0.952,0.981
533,2.088,6,6441.715,1356.065,6829.29,24.516,24.516,620.051,288,577.855,1.31,0.998,7.124,1.019,19.883,0.277,0.952,0.982
542,2.088,6,6224.29,1353.246,6830.082,23.991,23.991,614.235,288,576.894,1.303,0.998,7.079,1.019,21.196,0.271,0.952,0.983
551,2.088,6,6102.442,1351.655,6831.687,23.708,23.708,610.643,288,576.322,1.299,0.998,7.053,1.019,21.991,0.268,0.952,0.984
560,2.088,6,6051.055,1351.256,6833.979,23.631,23.631,608.52,288,575.951,1.297,0.998,7.036,1.019,21.978,0.266,0.952,0.985
569,2.088,6,5898.555,1350.01,6835.747,23.403,23.403,603.903,288,575.198,1.292,0.998,7.001,1.019,22.264,0.261,0.952,0.986
578,2.088,6,5719.108,1348.625,6837.473,23.158,23.158,598.684,288,574.366,1.287,0.998,6.963,1.019,22.711,0.255,0.952,0.987
